cell_id,arm,trial_index,seed,param_N,param_rrf,param_n_missions,param_regime,update_yield,round_close_rate_kmin1,round_close_rate_kmin2,round_close_rate_kminhalf,round_close_rate_kminN,coverage,jains_fairness,participation_entropy,mission_completion_rate,completion_fairness,pass2_coverage,rho_contact,rounds_closed,missions_completed,mission_failures,pass1_contacts_mean,pass2_contacts_mean,mission_duration_s_mean,n_devices,rf_range_m,n_missions_target,init_auc,init_accuracy,init_loss,final_auc,final_accuracy,final_loss,best_auc,delta_auc,rounds_evaluated,t_at_tau_round,tau,status,duration_s,error
N=6|n_missions=4|regime=clean|rrf=60.0,H1,5,2815654612,6,60.0,4,clean,2.0,0.75,0.75,0.5,0.0,1.0,0.9973031283710896,2.5830688879110246,0.6666666666666666,0.6666666666666666,0.75,1.2,3,4,0,5.0,3.75,11.15858942270279,6,60.0,4,0.31494488888888894,0.3333333333333333,0.721361517906189,0.9061444444444444,0.6666666666666666,0.6168219447135925,0.9084888888888889,0.5911995555555555,4,,0.9,ok,56.71029782295227,
N=6|n_missions=4|regime=jittery|rrf=60.0,H0,0,818754091,6,60.0,4,jittery,0.5,0.5,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.3302951111111111,0.3333333333333333,0.7335948944091797,0.9187173333333333,0.7284444444444444,0.6123689413070679,0.9187173333333333,0.5884222222222222,5,,0.9,ok,7.905091762542725,
N=6|n_missions=4|regime=jittery|rrf=60.0,H1,0,818754091,6,60.0,4,jittery,1.75,1.0,0.75,0.0,0.0,1.0,0.9977416440831075,2.5832806717967176,0.8333333333333334,0.7424242424242424,1.0,1.263157894736842,4,4,0,4.75,4.75,12.21482264995575,6,60.0,4,0.3302951111111111,0.3333333333333333,0.7335948944091797,0.8992880000000001,0.7226666666666667,0.578216552734375,0.9171622222222222,0.568992888888889,5,,0.9,ok,60.87467074394226,
N=6|n_missions=4|regime=jittery|rrf=60.0,H0,1,1309687600,6,60.0,4,jittery,0.5,0.25,0.25,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.3401355555555555,0.3333333333333333,0.732673704624176,0.9120088888888889,0.7382222222222222,0.6380527019500732,0.9120088888888889,0.5718733333333333,5,,0.9,ok,7.203584671020508,
N=6|n_missions=4|regime=jittery|rrf=60.0,H1,1,1309687600,6,60.0,4,jittery,1.75,1.0,0.75,0.0,0.0,1.0,1.0,2.584962500721156,0.6666666666666666,0.6282051282051282,1.0,2.4,4,4,0,2.5,2.75,7.822962939739227,6,60.0,4,0.3401355555555555,0.3333333333333333,0.732673704624176,0.9114533333333333,0.768,0.5765009522438049,0.9114533333333333,0.5713177777777778,5,,0.9,ok,42.68539595603943,
N=6|n_missions=4|regime=jittery|rrf=60.0,H0,2,622696084,6,60.0,4,jittery,0.25,0.25,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.3360062222222222,0.3333333333333333,0.7315530180931091,0.9032302222222223,0.7195555555555555,0.6331084966659546,0.9032302222222223,0.5672240000000001,5,,0.9,ok,5.441645860671997,
N=6|n_missions=4|regime=jittery|rrf=60.0,H1,2,622696084,6,60.0,4,jittery,2.75,1.0,1.0,0.75,0.0,1.0,0.9962335216572504,2.582193066735133,1.0,0.8768115942028986,1.0,1.2,4,4,0,5.0,5.0,11.411252915859222,6,60.0,4,0.3360062222222222,0.3333333333333333,0.7315530180931091,0.9026613333333334,0.724,0.5871753096580505,0.9147911111111112,0.5666551111111112,5,,0.9,ok,57.24383020401001,
N=6|n_missions=4|regime=jittery|rrf=60.0,H0,3,212293656,6,60.0,4,jittery,0.5,0.5,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.3217457777777778,0.3333333333333333,0.7343095541000366,0.9168408888888889,0.7604444444444445,0.6034723520278931,0.9168408888888889,0.5950951111111111,5,,0.9,ok,6.254597187042236,
N=6|n_missions=4|regime=jittery|rrf=60.0,H1,3,212293656,6,60.0,4,jittery,2.0,1.0,0.75,0.25,0.0,1.0,1.0,2.584962500721156,0.8333333333333334,0.7619047619047619,1.0,1.7142857142857142,4,4,0,3.5,3.75,9.35346919298172,6,60.0,4,0.3217457777777778,0.3333333333333333,0.7343095541000366,0.938047111111111,0.6666666666666666,0.5666823983192444,0.938047111111111,0.6163013333333333,5,,0.9,ok,48.751277685165405,
N=6|n_missions=4|regime=jittery|rrf=60.0,H0,4,21601625,6,60.0,4,jittery,0.25,0.25,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.31411199999999995,0.3333333333333333,0.7208154201507568,0.8543475555555555,0.6671111111111111,0.6539605855941772,0.8543475555555555,0.5402355555555556,5,,0.9,ok,5.639443635940552,
N=6|n_missions=4|regime=jittery|rrf=60.0,H1,4,21601625,6,60.0,4,jittery,1.75,1.0,0.75,0.0,0.0,1.0,0.9962335216572504,2.582193066735133,0.6666666666666666,0.6282051282051282,1.0,1.6,4,4,0,3.75,3.75,11.337911665439606,6,60.0,4,0.31411199999999995,0.3333333333333333,0.7208154201507568,0.8792453333333334,0.6666666666666666,0.6010649800300598,0.8890044444444445,0.5651333333333335,5,,0.9,ok,56.66322135925293,
N=6|n_missions=4|regime=jittery|rrf=60.0,H0,5,2813341637,6,60.0,4,jittery,0.5,0.25,0.25,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.3164071111111112,0.3333333333333333,0.72109055519104,0.8162866666666667,0.6666666666666666,0.6566062569618225,0.8162866666666667,0.4998795555555555,5,,0.9,ok,7.109521865844727,
N=6|n_missions=4|regime=jittery|rrf=60.0,H1,5,2813341637,6,60.0,4,jittery,1.75,1.0,0.5,0.25,0.0,1.0,0.995575221238938,2.581754132702793,0.5,0.3888888888888889,1.0,1.5,4,4,0,4.0,4.0,11.560258507728577,6,60.0,4,0.3164071111111112,0.3333333333333333,0.72109055519104,0.8854413333333333,0.6666666666666666,0.6017313599586487,0.8948248888888889,0.5690342222222221,5,,0.9,ok,57.28977012634277,
