cell_id,arm,trial_index,seed,param_N,param_rrf,param_n_missions,param_regime,param_dead_zone,param_link_quality,update_yield,round_close_rate_kmin1,round_close_rate_kmin2,round_close_rate_kminhalf,round_close_rate_kminN,coverage,jains_fairness,participation_entropy,mission_completion_rate,completion_fairness,pass2_coverage,rho_contact,rounds_closed,missions_completed,mission_failures,pass1_contacts_mean,pass2_contacts_mean,mission_duration_s_mean,n_devices,rf_range_m,n_missions_target,init_auc,init_accuracy,init_loss,final_auc,final_accuracy,final_loss,best_auc,delta_auc,rounds_evaluated,t_at_tau_round,tau,status,duration_s,error
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,5,3768096270,6,60.0,4,jittery,0.4,0.5,0.25,0.25,0.0,0.0,0.0,1.0,0.9918032786885246,2.578992712198113,0.16666666666666666,0.16666666666666666,0.25,2.0,1,4,0,3.0,0.75,8.794173240661621,6,60.0,4,0.26125112500000003,0.3576666666666667,0.6959161758422852,0.721508375,0.7755,0.67670077085495,0.721508375,0.46025724999999995,2,,0.9,ok,56.25097846984863,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,5,3768096270,6,60.0,4,jittery,0.4,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.994824016563147,2.581358330499424,0.3333333333333333,0.3333333333333333,0.5,2.0,2,4,0,3.0,1.5,9.075862050056458,6,60.0,4,0.26125112500000003,0.3576666666666667,0.6959161758422852,0.87938275,0.8188333333333333,0.6556148529052734,0.87938275,0.618131625,3,,0.9,ok,55.340068101882935,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,6,44498162,6,60.0,4,jittery,0.4,0.5,0.5,0.25,0.25,0.0,0.0,1.0,1.0,2.584962500721156,0.3333333333333333,0.3333333333333333,0.25,2.0,1,4,0,3.0,0.75,7.065514266490936,6,60.0,4,0.25220968749999995,0.35833333333333334,0.6959929466247559,0.5663526249999999,0.45666666666666667,0.6840572357177734,0.5663526249999999,0.3141429375,2,,0.9,ok,50.301629066467285,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,6,44498162,6,60.0,4,jittery,0.4,0.5,1.5,0.75,0.25,0.25,0.0,1.0,0.9863387978142076,2.5746737280146283,0.6666666666666666,0.6,0.75,2.0,3,4,0,3.0,1.75,7.296651482582092,6,60.0,4,0.25220968749999995,0.35833333333333334,0.6959929466247559,0.9198813124999998,0.8021666666666667,0.6323330998420715,0.9198813124999998,0.6676716249999999,4,,0.9,ok,56.07159686088562,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,7,1089721701,6,60.0,4,jittery,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,6,60.0,4,,,,,,,,,0,,,ok,75.19533252716064,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,7,1089721701,6,60.0,4,jittery,0.4,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.9940898345153665,2.5804567753970873,0.3333333333333333,0.3333333333333333,0.5,2.0,2,4,0,3.0,1.5,8.618392169475555,6,60.0,4,0.2759474375,0.35633333333333334,0.6959259510040283,0.8490683125,0.7398333333333333,0.6726377606391907,0.8490683125,0.5731208750000001,3,,0.9,ok,68.72529363632202,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,8,852568211,6,60.0,4,jittery,0.4,0.5,1.0,0.5,0.25,0.25,0.0,1.0,0.9863123993558777,2.5749947193376044,0.5,0.4444444444444444,0.5,1.2,1,4,0,5.0,2.5,10.765685379505157,6,60.0,4,0.27447993750000005,0.3515,0.6959113478660583,0.6754669375,0.7325,0.6802250146865845,0.6754669375,0.4009869999999999,2,,0.9,ok,71.92125082015991,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,8,852568211,6,60.0,4,jittery,0.4,0.5,1.0,0.5,0.25,0.25,0.0,1.0,0.9944903581267218,2.5810309627563695,0.5,0.4444444444444444,0.5,1.2,2,4,0,5.0,2.5,11.01883852481842,6,60.0,4,0.27447993750000005,0.3515,0.6959113478660583,0.8408491875,0.736,0.6780734658241272,0.8408491875,0.5663692499999999,3,,0.9,ok,69.11462068557739,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,9,2755116970,6,60.0,4,jittery,0.4,0.5,1.25,0.75,0.5,0.0,0.0,1.0,0.9899882214369847,2.577698263840924,0.5,0.46296296296296297,0.75,1.5,0,4,0,4.0,3.0,10.556393563747406,6,60.0,4,0.26195825,0.3551666666666667,0.6959208846092224,0.26195825,0.3551666666666667,0.6959208846092224,0.26195825,0.0,1,,0.9,ok,60.67655301094055,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,9,2755116970,6,60.0,4,jittery,0.4,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.955026455026455,2.549787381523038,0.0,1.0,0.0,1.5,0,4,0,4.0,0.0,11.573619961738586,6,60.0,4,0.26195825,0.3551666666666667,0.6959208846092224,0.26195825,0.3551666666666667,0.6959208846092224,0.26195825,0.0,1,,0.9,ok,113.046067237854,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,10,1196297180,6,60.0,4,jittery,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,6,60.0,4,,,,,,,,,0,,,ok,114.10907769203186,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,10,1196297180,6,60.0,4,jittery,0.4,0.5,2.5,1.0,0.75,0.5,0.0,1.0,0.9970344009489917,2.5827423149511795,0.8333333333333334,0.5952380952380952,1.0,1.5,4,4,0,4.0,4.0,9.372794687747955,6,60.0,4,0.25212362499999996,0.35833333333333334,0.6959930062294006,0.9602985625,0.8438333333333333,0.583479642868042,0.9602985625,0.7081749375,5,,0.9,ok,84.7226128578186,
